Date,Time,Town / Village,Area,"Occupation
(Where Relevant)",Description
1997-01-02,20:58,Immingham,Lincolnshire,(where known),"A large UFO, with all different colour of lights around it. Was stationary for some time, then started moving, making small erratic movements."
1997-01-02,23:35,Scunthorpe,North Lincolnshire,,An object that is continually changing colour. Normal star shape.
1997-01-03,07:45,Formby/Liverpool,Merseyside,,"An oval, cigar shaped object. When the object speeded up, the witness could see red and white lights around or underneath it."
1997-01-04,23:20,Beith,Ayrshire,,There were circular lights that were indistinct. The object was continually orbiting and tilting.
1997-01-13,21:00,Brockton,Staffordshire,,"One, North Star sized object. Red and green colours, brighter than a star. Was moving from West to North."
1997-01-13,19:35,Peacehaven,East Sussex,,"One star shaped object. It had white, red and green flickering lights. It was very high and moving very slowly."
1997-01-13,19:40,Eynsham,Oxfordshire,,"One object, larger than a light plane. Was circular and greenish in colour. Moved faster than a plane and then appeared to fall to the ground."
1997-01-13,19:00,Watlington/Kings Lynn,Norfolk,,"Two bright white lights and three green lights in a row, with a red light beneath, seen hovering above a field."
1997-01-13,22:30,Kessingland/Nr Lowestoft,Suffolk,,"Huge lights, like a child's sparkler, round, and as big as a house. There was no sound."
1997-01-14,20:00,Selby,North Yorkshire,,"One, star shaped object. It was multicoloured. The object was stationary for over two hours."
1997-01-16,08:45,Dunfermline,Fife,,"There was an orange glow in the sky. Small plane sized, cigar shaped object. It descended quickly."
1997-01-20,08:00,Rock/Nr Kidderminster,Worcestershire,,"Five lights were seen in the sky. They then formed into two dashes. One moved off, and then they all disappeared."
1997-01-20,07:00,Rochdale,Lancashire,,"Two white lights that were oblong shaped, and very bright. They were heading in every direction."
1997-01-20,06:55,Coppull/Nr Chorley,Lancashire,,"Three lights in a triangular formation. The lights split up and then proceeded in three separate directions, at the speed of the car."
1997-01-20,07:00,Henley-in-Arden,Warwickshire,,A triangle of three stars. One was stationary and the other two were moving at the speed of a plane. They were brilliant white.
1997-01-20,19:15,Bradford,West Yorkshire,,"Five, round shaped flashing lights. Red and white in colour. They separated and went in different directions."
1997-01-20,19:01,Invergary,Invernesshire,,Intermittent light was flashing red. Then two flying objects were seen.
1997-01-20,06:50,Dartmoor,Devon,,"Two objects/lights that were parallel. Were stationary for about 10 seconds. They moved away at speed, and then became brighter."
1997-01-20,16:45,Norwich,Norfolk,,"A green light seen in the sky, that moved in a curve, falling as it went."
1997-01-20,01:00,Woodford Green,Essex,,"Three triangular shaped objects. They were bright white, but also turned red, green and orange. They moved spot and then zoomed off."
1997-01-20,19:45,Caernarfon Bay,Caernarfonshire,,"A huge, blue, fast object in the sky. There was a cloud of smoke and it made the floor shake."
1997-01-24,03:10,Hainault,Essex,,"A round, glowing object, with a dome on top and another underneath. It had port holes and glowed white/yellow. Disappeared after a few seconds."
1997-01-24,19:05,Spey Bay Beach/Moray,Morayshire,,"One large, semi-circular shaped object. Blood red orange, very vivid. Similar to a street light. Object was stationary, then moved off."
1997-01-24,20:07,B260/Longfield,Kent,,"Three very bright objects, pulsating - white, green and yellow. They sometimes moved into a triangular formation."
1997-01-24,19:00,Spey Bay,Morayshire,,One object. Was bright red/orange in colour. Bright light. The object was moving downwards.
1997-01-25,21:00,Huddersfield,West Yorkshire,,"One object. Got larger as it came close. Was starlight shaped, with a blue light pulsating and was extremely bright."
1997-01-25,20:30,Marske By The Sea,North Yorkshire,,"One bright object. Collection of red, green and blue lights."
1997-01-26,00:30,Edinburgh,Fife,,"One object, in the shape of three dots. Flashing red, purple, blue and yellow lights. They looked like disco lights."
1997-01-26,20:40,A537/Chelford/Nr Macclesfield,Cheshire,,"One object, 50 metres across. Was round and dark, with white incandescent lights around it. With two very bright, red lights beneath it."
1997-01-27,10:55,Droylsden,Greater Manchester,,"One, silver/white metallic object. Stubby wings further back. Cylindrical. Low, growling hum. Two more objects were there for 2-3 minutes."
1997-01-27,20:23,Flamborough,East Yorkshire,,Two blue lights. Shape described as a flint sparking continuously. Both lights varied from being 30-100 yards apart.
1997-01-27,22:40,Newport,South Glamorgan,,A 'tube of light' coming down from the sky. It first looked like a star moving towards the car. Left a dust cover on the car.
1997-01-28,20:00,Swansea,Glamorgan,,Three white lights accompanied by a red light. They seemed to be many miles away.
1997-01-30,17:55,Marlow,Buckinghamshire,,One sphere shaped object. White light. It descended slowly to eye level and slowed and appeared to spin and accelerate and then disappeared.
